 Length , Weight (g) 
 8.70 , 52.00 
 8.70 , 45.00 
 8.70 , 34.00 
 8.70 , 40.00 
 8.70 , 40.00 
 8.70 , 33.10 
 8.70 , 42.00 
 8.70 , 51.00 
 8.70 , 42.00 
 8.70 , 42.00 
 8.70 , 53.00 
 8.70 , 52.00 
 8.70 , 40.00 
 8.70 , 50.00 
 8.70 , 40.00 
 8.70 , 50.00 
 8.70 , 45.00 
 8.70 , 39.00 
 8.70 , 50.00 
 8.70 , 53.00 
 8.70 , 55.00 
 8.70 , 47.00 
 8.70 , 46.00 
 8.70 , 51.00 
 8.70 , 48.00 
 8.70 , 48.00 
 8.70 , 30.00 
 8.70 , 45.00 
 8.70 , 40.00 
 8.70 , 40.00 
 8.70 , 35.00 
 8.70 , 30.00 
 8.70 , 35.00 
 8.70 , 40.00 
 8.70 , 44.00 
 8.80 , 55.00 
 8.80 , 40.00 
 8.80 , 40.00 
 8.80 , 59.00 
 8.80 , 52.00 
 8.80 , 53.00 
 8.80 , 45.00 
 8.80 , 46.00 
 8.80 , 36.00 
 8.80 , 32.00 
 8.80 , 38.00 
 8.80 , 35.00 
 8.80 , 40.00 
 8.80 , 62.00 
 8.80 , 36.00 
 8.80 , 40.00 
 8.80 , 41.00 
 8.80 , 46.00 
 8.80 , 55.00 
 8.80 , 46.60 
 8.80 , 36.20 
 8.80 , 54.00 
 8.80 , 50.00 
 8.80 , 55.00 
 8.80 , 42.00 
 8.80 , 60.00 
 8.80 , 50.00 
 8.80 , 40.00 
 8.80 , 50.00 
 8.80 , 56.00 
 8.80 , 46.00 
 8.80 , 48.00 
 8.80 , 40.00 
 8.80 , 50.00 
 8.80 , 40.00 
 8.80 , 45.00 
 8.80 , 41.00 
 8.80 , 59.00 
 8.80 , 52.00 
 8.80 , 53.00 
 8.80 , 39.00 
 8.80 , 50.00 
 8.80 , 44.00 
 8.80 , 35.00 
 8.80 , 40.00 
 8.80 , 30.00 
 8.80 , 40.00 
 8.80 , 40.00 
 8.80 , 55.00 
 8.80 , 40.00 
 8.80 , 30.00 
 8.80 , 50.00 
 8.80 , 50.00 
 8.80 , 40.00 
 8.80 , 41.00 
 8.80 , 46.00 
 8.80 , 41.00 
 8.80 , 43.00 
 8.80 , 41.00 
 8.80 , 32.00 
 8.90 , 61.00 
 8.90 , 42.00 
 8.90 , 39.00 
 8.90 , 35.00 
 8.90 , 49.00 
 8.90 , 40.00 
 8.90 , 40.00 
 8.90 , 40.00 
 8.90 , 70.00 
 8.90 , 41.00 
 8.90 , 50.00 
 8.90 , 53.00 
 8.90 , 47.00 
 8.90 , 50.00 
 8.90 , 32.00 
 8.90 , 50.00 
 8.90 , 10.00 
 8.90 , 66.00 
 8.90 , 58.00 
 8.90 , 48.00 
 8.90 , 37.00 
 8.90 , 57.00 
 8.90 , 57.00 
 8.90 , 49.00 
 8.90 , 38.00 
 8.90 , 39.00 
 8.90 , 41.00 
 8.90 , 42.00 
 8.90 , 37.00 
 8.90 , 39.00 
 8.90 , 38.00 
 8.90 , 37.00 
 8.90 , 31.00 
 8.90 , 65.00 
 8.90 , 53.00 
 8.90 , 53.00 
 8.90 , 50.00 
 8.90 , 35.00 
 8.90 , 43.00 
 8.90 , 42.00 
 8.90 , 61.00 
 8.90 , 40.00 
 8.90 , 40.00 
 8.90 , 50.00 
 8.90 , 46.00 
 8.90 , 40.00 
 8.90 , 40.00 
 8.90 , 60.00 
 8.90 , 45.00 
 8.90 , 50.00 
 8.90 , 53.00 
 8.90 , 79.00 
 8.90 , 41.00 
 8.90 , 40.00 
 8.90 , 30.00 
 8.90 , 30.00 
 8.90 , 35.00 
 8.90 , 40.00 
 8.90 , 35.00 
 8.90 , 30.00 
 8.90 , 50.00 
 8.90 , 70.00 
 8.90 , 80.00 
 8.90 , 60.00 
 8.90 , 70.00 
 8.90 , 50.00 
 8.90 , 44.00 
 8.90 , 40.00 
 8.90 , 45.00 
 9.00 , 61.00 
 9.00 , 70.00 
 9.00 , 42.00 
 9.00 , 41.00 
 9.00 , 37.00 
 9.00 , 41.00 
 9.00 , 42.00 
 9.00 , 46.00 
 9.00 , 42.00 
 9.00 , 57.00 
 9.00 , 40.00 
 9.00 , 40.00 
 9.00 , 45.00 
 9.00 , 35.00 
